x	y	z	std
-176.9	36.87	4.0887	1.35
-160.29	-59.67	2.30687	1.5
-150.42	70.29	2.186097	1.05
-148.45	54.37	2.73685	0.975
-133.3	0.49	-0.897	0.9
-130.12	40.98	2.5222	1.5
-127.78	39.09	6.3376	0.9
-124.11	-65.68	2.664514	1.35
-119.98	32.83	8.0744	0.45
-110.07	5.28	2.4042	0.6
-99	79	3.5	1.5
-97.99	-63.68	1.75309	1.65
-95.32	0.18	2.6283	0.555
-87.17	28.83	-0.0455	0.75
-83.74	1.2	1.991	0.825
-82.66	27.25	-2.0274	0.9
-82.43	27.35	-0.5274	1.2
-82.05	9.15	1.1407	1.2
-80.28	25.78	-1.1236	1.65
-79.46	24.4	0.9929	1.005
-79.38	11.49	0.2638	0.6
-79	34	0.7303	1.05
-76.75	35.38	2.0429	0.9
-76.5	37	7.5402	0.9
-76.37	-16	5.962	0.555
-74.41	28.25	2.0049	0.525
-70.03	35.49	4.3567	0.9
-58.72	15.52	0.02	0.9
-58.5	15.5	0.02	0.9
-57.61	33.69	1.6624	0.45
-43.5	22.9	1.0319	0.75
-43.45	-62.39	2.954767	1.2
-35.5	37.34	1.7205	0.495
-35.28	-30.27	2.8697	1.05
-32.96	41	1.0365	0.495
-30.68	-51.54	2.03487	1.2
-29.48	45.51	5.0694	0.75
-24.87	32.03	2.7117	0.495
-24.24	49.88	5.9694	0.555
-23.23	56.04	5.9905	0.555
-23.09	42.84	5.0844	0.6
-21.9	4.55	-0.1104	0.75
-21.03	18.08	1.9318	0.6
-20	23	2.1318	0.645
-19.85	5.68	0.2963	0.75
-19.39	9.45	0.396	0.45
-18.89	53.22	7.0991	0.45
-14.57	-70.83	2.54045	1.35
-12.7	69.25	9.17003	1.05
-12	48.85	9.3053	0.6
-10.27	-26.07	2.7233	1.2
-9.6	33.8	2.3962	0.9
1.21	-65.16	3.09346	1.2
1.5	52.5	3.0532	1.2
3.07	78.58	8.65303	1.2
7.42	-46.88	2.64658	0.45
7.92	-58.64	2.563252	1.35
8.23	80.47	12.2763901	1.2
10.52	-19.74	1.4648	1.65
11.43	40.25	2.551	1.05
13.5	37.33	0.3703	0.9
13.58	37.33	2.3703	0.9
25.17	35.25	-1.9031	0.9
59.8	16.62	-0.8384	0.9
60.55	-3.92	0.4261	0.6
71.66	-49.4	2.43961	1.35
73.28	4.93	0.2886	0.9
76.79	-54.81	2.453574	1.2
78.98	-58.44	2.592133	1.35
79.81	-57.73	2.69258971	1.5
85.86	-59.6	2.652308	1.35
90.37	5.38	1.7004	1.05
93.57	-30.93	0.7753	1.8
110.11	-56.4	2.06301	1.65
112.21	-20.59	1.9195	0.45
121.29	8.78	-0.1261	1.2
133.2	25.52	1.3063	0.975
137	37	1.8629	1.2
140.5	39.5	1.7552	1.65
150.68	-62.9	2.1598274	1.35
150.88	-57.75	1.88054	1.35
151.57	-9.18	0.2205	0.525
153.84	38.63	6.5078	0.6
153.98	41.63	6.5189	0.45
158.5	-0.5	0.1018	1.65
159.36	0.31	0.1471	0.375
161.49	47.1	4.35248	0.45
163	56	3.27646	1.5
164.04	58.85	4.21851	1.5
165.44	-36.47	2.4453	0.6
167.09	-77.89	1.02635	0.75
167.77	51.2	3.78595	0.795
170.06	-61.09	2.32091	1.35
173.43	-68.99	2.77049	1.2
175.87	-39.5	2.2436	1.5
