x	y	z	std
-176.9	36.87	4.0887	3.6
-160.29	-59.67	2.30687	4
-150.42	70.29	2.186097	2.8
-148.45	54.37	2.73685	2.6
-133.3	0.49	-0.897	2.4
-130.12	40.98	2.5222	4
-127.78	39.09	6.3376	2.4
-124.11	-65.68	2.664514	3.6
-119.98	32.83	8.0744	1.2
-110.07	5.28	2.4042	1.6
-99	79	3.5	4
-97.99	-63.68	1.75309	4.4
-95.32	0.18	2.6283	1.48
-87.17	28.83	-0.0455	2
-83.74	1.2	1.991	2.2
-82.66	27.25	-2.0274	2.4
-82.43	27.35	-0.5274	3.2
-82.05	9.15	1.1407	3.2
-80.28	25.78	-1.1236	4.4
-79.46	24.4	0.9929	2.68
-79.38	11.49	0.2638	1.6
-79	34	0.7303	2.8
-76.75	35.38	2.0429	2.4
-76.5	37	7.5402	2.4
-76.37	-16	5.962	1.48
-74.41	28.25	2.0049	1.4
-70.03	35.49	4.3567	2.4
-58.72	15.52	0.02	2.4
-58.5	15.5	0.02	2.4
-57.61	33.69	1.6624	1.2
-43.5	22.9	1.0319	2
-43.45	-62.39	2.954767	3.2
-35.5	37.34	1.7205	1.32
-35.28	-30.27	2.8697	2.8
-32.96	41	1.0365	1.32
-30.68	-51.54	2.03487	3.2
-29.48	45.51	5.0694	2
-24.87	32.03	2.7117	1.32
-24.24	49.88	5.9694	1.48
-23.23	56.04	5.9905	1.48
-23.09	42.84	5.0844	1.6
-21.9	4.55	-0.1104	2
-21.03	18.08	1.9318	1.6
-20	23	2.1318	1.72
-19.85	5.68	0.2963	2
-19.39	9.45	0.396	1.2
-18.89	53.22	7.0991	1.2
-14.57	-70.83	2.54045	3.6
-12.7	69.25	9.17003	2.8
-12	48.85	9.3053	1.6
-10.27	-26.07	2.7233	3.2
-9.6	33.8	2.3962	2.4
1.21	-65.16	3.09346	3.2
1.5	52.5	3.0532	3.2
3.07	78.58	8.65303	3.2
7.42	-46.88	2.64658	1.2
7.92	-58.64	2.563252	3.6
8.23	80.47	12.2763901	3.2
10.52	-19.74	1.4648	4.4
11.43	40.25	2.551	2.8
13.5	37.33	0.3703	2.4
13.58	37.33	2.3703	2.4
25.17	35.25	-1.9031	2.4
59.8	16.62	-0.8384	2.4
60.55	-3.92	0.4261	1.6
71.66	-49.4	2.43961	3.6
73.28	4.93	0.2886	2.4
76.79	-54.81	2.453574	3.2
78.98	-58.44	2.592133	3.6
79.81	-57.73	2.69258971	4
85.86	-59.6	2.652308	3.6
90.37	5.38	1.7004	2.8
93.57	-30.93	0.7753	4.8
110.11	-56.4	2.06301	4.4
112.21	-20.59	1.9195	1.2
121.29	8.78	-0.1261	3.2
133.2	25.52	1.3063	2.6
137	37	1.8629	3.2
140.5	39.5	1.7552	4.4
150.68	-62.9	2.1598274	3.6
150.88	-57.75	1.88054	3.6
151.57	-9.18	0.2205	1.4
153.84	38.63	6.5078	1.6
153.98	41.63	6.5189	1.2
158.5	-0.5	0.1018	4.4
159.36	0.31	0.1471	1
161.49	47.1	4.35248	1.2
163	56	3.27646	4
164.04	58.85	4.21851	4
165.44	-36.47	2.4453	1.6
167.09	-77.89	1.02635	2
167.77	51.2	3.78595	2.12
170.06	-61.09	2.32091	3.6
173.43	-68.99	2.77049	3.2
175.87	-39.5	2.2436	4
